date,age_group,hospital_cases
2020-07-07T00:00:00Z,Under 35,311
2020-07-07T00:00:00Z,35 to 54,718
2020-07-07T00:00:00Z,55 to 64,495
2020-07-07T00:00:00Z,65 and older,1802
2020-07-08T00:00:00Z,Under 35,311
2020-07-08T00:00:00Z,35 to 54,718
2020-07-08T00:00:00Z,55 to 64,495
2020-07-08T00:00:00Z,65 and older,1802
2020-07-09T00:00:00Z,Under 35,311
2020-07-09T00:00:00Z,35 to 54,720
2020-07-09T00:00:00Z,55 to 64,495
2020-07-09T00:00:00Z,65 and older,1802
2020-07-10T00:00:00Z,Under 35,311
2020-07-10T00:00:00Z,35 to 54,720
2020-07-10T00:00:00Z,55 to 64,495
2020-07-10T00:00:00Z,65 and older,1802
2020-07-11T00:00:00Z,Under 35,311
2020-07-11T00:00:00Z,35 to 54,720
2020-07-11T00:00:00Z,55 to 64,495
2020-07-11T00:00:00Z,65 and older,1802
2020-07-12T00:00:00Z,Under 35,312
2020-07-12T00:00:00Z,35 to 54,720
2020-07-12T00:00:00Z,55 to 64,495
2020-07-12T00:00:00Z,65 and older,1803
2020-07-13T00:00:00Z,Under 35,313
2020-07-13T00:00:00Z,35 to 54,722
2020-07-13T00:00:00Z,55 to 64,496
2020-07-13T00:00:00Z,65 and older,1804
2020-07-14T00:00:00Z,Under 35,313
2020-07-14T00:00:00Z,35 to 54,722
2020-07-14T00:00:00Z,55 to 64,497
2020-07-14T00:00:00Z,65 and older,1806
2020-07-15T00:00:00Z,Under 35,313
2020-07-15T00:00:00Z,35 to 54,722
2020-07-15T00:00:00Z,55 to 64,497
2020-07-15T00:00:00Z,65 and older,1806
2020-07-16T00:00:00Z,Under 35,314
2020-07-16T00:00:00Z,35 to 54,723
2020-07-16T00:00:00Z,55 to 64,497
2020-07-16T00:00:00Z,65 and older,1807
2020-07-17T00:00:00Z,Under 35,314
2020-07-17T00:00:00Z,35 to 54,723
2020-07-17T00:00:00Z,55 to 64,497
2020-07-17T00:00:00Z,65 and older,1807
2020-07-18T00:00:00Z,Under 35,314
2020-07-18T00:00:00Z,35 to 54,723
2020-07-18T00:00:00Z,55 to 64,497
2020-07-18T00:00:00Z,65 and older,1808
2020-07-19T00:00:00Z,Under 35,314
2020-07-19T00:00:00Z,35 to 54,722
2020-07-19T00:00:00Z,55 to 64,497
2020-07-19T00:00:00Z,65 and older,1808
2020-07-20T00:00:00Z,Under 35,313
2020-07-20T00:00:00Z,35 to 54,721
2020-07-20T00:00:00Z,55 to 64,497
2020-07-20T00:00:00Z,65 and older,1808
2020-07-21T00:00:00Z,Under 35,314
2020-07-21T00:00:00Z,35 to 54,721
2020-07-21T00:00:00Z,55 to 64,497
2020-07-21T00:00:00Z,65 and older,1808
2020-07-22T00:00:00Z,Under 35,314
2020-07-22T00:00:00Z,35 to 54,723
2020-07-22T00:00:00Z,55 to 64,497
2020-07-22T00:00:00Z,65 and older,1809
2020-07-23T00:00:00Z,Under 35,314
2020-07-23T00:00:00Z,35 to 54,723
2020-07-23T00:00:00Z,55 to 64,498
2020-07-23T00:00:00Z,65 and older,1809
2020-07-24T00:00:00Z,Under 35,314
2020-07-24T00:00:00Z,35 to 54,723
2020-07-24T00:00:00Z,55 to 64,498
2020-07-24T00:00:00Z,65 and older,1809
2020-07-25T00:00:00Z,Under 35,315
2020-07-25T00:00:00Z,35 to 54,723
2020-07-25T00:00:00Z,55 to 64,498
2020-07-25T00:00:00Z,65 and older,1809
2020-07-26T00:00:00Z,Under 35,315
2020-07-26T00:00:00Z,35 to 54,725
2020-07-26T00:00:00Z,55 to 64,498
2020-07-26T00:00:00Z,65 and older,1810
2020-07-27T00:00:00Z,Under 35,315
2020-07-27T00:00:00Z,35 to 54,725
2020-07-27T00:00:00Z,55 to 64,499
2020-07-27T00:00:00Z,65 and older,1809
2020-07-28T00:00:00Z,Under 35,316
2020-07-28T00:00:00Z,35 to 54,725
2020-07-28T00:00:00Z,55 to 64,499
2020-07-28T00:00:00Z,65 and older,1809
2020-07-29T00:00:00Z,Under 35,317
2020-07-29T00:00:00Z,35 to 54,725
2020-07-29T00:00:00Z,55 to 64,499
2020-07-29T00:00:00Z,65 and older,1810
2020-07-30T00:00:00Z,Under 35,317
2020-07-30T00:00:00Z,35 to 54,725
2020-07-30T00:00:00Z,55 to 64,499
2020-07-30T00:00:00Z,65 and older,1811
2020-07-31T00:00:00Z,Under 35,320
2020-07-31T00:00:00Z,35 to 54,728
2020-07-31T00:00:00Z,55 to 64,499
2020-07-31T00:00:00Z,65 and older,1811
2020-08-01T00:00:00Z,Under 35,320
2020-08-01T00:00:00Z,35 to 54,728
2020-08-01T00:00:00Z,55 to 64,499
2020-08-01T00:00:00Z,65 and older,1811
2020-08-02T00:00:00Z,Under 35,319
2020-08-02T00:00:00Z,35 to 54,727
2020-08-02T00:00:00Z,55 to 64,499
2020-08-02T00:00:00Z,65 and older,1812
2020-08-03T00:00:00Z,Under 35,319
2020-08-03T00:00:00Z,35 to 54,726
2020-08-03T00:00:00Z,55 to 64,499
2020-08-03T00:00:00Z,65 and older,1812
2020-08-04T00:00:00Z,Under 35,319
2020-08-04T00:00:00Z,35 to 54,726
2020-08-04T00:00:00Z,55 to 64,499
2020-08-04T00:00:00Z,65 and older,1814
2020-08-05T00:00:00Z,Under 35,318
2020-08-05T00:00:00Z,35 to 54,726
2020-08-05T00:00:00Z,55 to 64,500
2020-08-05T00:00:00Z,65 and older,1817
2020-08-06T00:00:00Z,Under 35,318
2020-08-06T00:00:00Z,35 to 54,727
2020-08-06T00:00:00Z,55 to 64,500
2020-08-06T00:00:00Z,65 and older,1818
2020-08-07T00:00:00Z,Under 35,319
2020-08-07T00:00:00Z,35 to 54,727
2020-08-07T00:00:00Z,55 to 64,500
2020-08-07T00:00:00Z,65 and older,1818
2020-08-08T00:00:00Z,Under 35,319
2020-08-08T00:00:00Z,35 to 54,727
2020-08-08T00:00:00Z,55 to 64,500
2020-08-08T00:00:00Z,65 and older,1817
2020-08-09T00:00:00Z,Under 35,320
2020-08-09T00:00:00Z,35 to 54,730
2020-08-09T00:00:00Z,55 to 64,501
2020-08-09T00:00:00Z,65 and older,1820
2020-08-10T00:00:00Z,Under 35,321
2020-08-10T00:00:00Z,35 to 54,730
2020-08-10T00:00:00Z,55 to 64,502
2020-08-10T00:00:00Z,65 and older,1822
2020-08-11T00:00:00Z,Under 35,324
2020-08-11T00:00:00Z,35 to 54,729
2020-08-11T00:00:00Z,55 to 64,502
2020-08-11T00:00:00Z,65 and older,1822
2020-08-12T00:00:00Z,Under 35,325
2020-08-12T00:00:00Z,35 to 54,731
2020-08-12T00:00:00Z,55 to 64,502
2020-08-12T00:00:00Z,65 and older,1823
2020-08-13T00:00:00Z,Under 35,326
2020-08-13T00:00:00Z,35 to 54,730
2020-08-13T00:00:00Z,55 to 64,502
2020-08-13T00:00:00Z,65 and older,1825
2020-08-14T00:00:00Z,Under 35,326
2020-08-14T00:00:00Z,35 to 54,731
2020-08-14T00:00:00Z,55 to 64,502
2020-08-14T00:00:00Z,65 and older,1825
2020-08-15T00:00:00Z,Under 35,326
2020-08-15T00:00:00Z,35 to 54,731
2020-08-15T00:00:00Z,55 to 64,503
2020-08-15T00:00:00Z,65 and older,1826
2020-08-16T00:00:00Z,Under 35,326
2020-08-16T00:00:00Z,35 to 54,731
2020-08-16T00:00:00Z,55 to 64,503
2020-08-16T00:00:00Z,65 and older,1827
2020-08-17T00:00:00Z,Under 35,325
2020-08-17T00:00:00Z,35 to 54,733
2020-08-17T00:00:00Z,55 to 64,503
2020-08-17T00:00:00Z,65 and older,1827
2020-08-18T00:00:00Z,Under 35,327
2020-08-18T00:00:00Z,35 to 54,735
2020-08-18T00:00:00Z,55 to 64,504
2020-08-18T00:00:00Z,65 and older,1827
2020-08-19T00:00:00Z,Under 35,326
2020-08-19T00:00:00Z,35 to 54,735
2020-08-19T00:00:00Z,55 to 64,503
2020-08-19T00:00:00Z,65 and older,1828
2020-08-20T00:00:00Z,Under 35,326
2020-08-20T00:00:00Z,35 to 54,735
2020-08-20T00:00:00Z,55 to 64,503
2020-08-20T00:00:00Z,65 and older,1829
2020-08-21T00:00:00Z,Under 35,328
2020-08-21T00:00:00Z,35 to 54,735
2020-08-21T00:00:00Z,55 to 64,503
2020-08-21T00:00:00Z,65 and older,1829
2020-08-22T00:00:00Z,Under 35,330
2020-08-22T00:00:00Z,35 to 54,735
2020-08-22T00:00:00Z,55 to 64,503
2020-08-22T00:00:00Z,65 and older,1829
2020-08-23T00:00:00Z,Under 35,326
2020-08-23T00:00:00Z,35 to 54,737
2020-08-23T00:00:00Z,55 to 64,504
2020-08-23T00:00:00Z,65 and older,1829
2020-08-24T00:00:00Z,Under 35,326
2020-08-24T00:00:00Z,35 to 54,737
2020-08-24T00:00:00Z,55 to 64,504
2020-08-24T00:00:00Z,65 and older,1829
2020-08-25T00:00:00Z,Under 35,326
2020-08-25T00:00:00Z,35 to 54,732
2020-08-25T00:00:00Z,55 to 64,502
2020-08-25T00:00:00Z,65 and older,1825
2020-08-26T00:00:00Z,Under 35,328
2020-08-26T00:00:00Z,35 to 54,733
2020-08-26T00:00:00Z,55 to 64,501
2020-08-26T00:00:00Z,65 and older,1821
2020-08-27T00:00:00Z,Under 35,326
2020-08-27T00:00:00Z,35 to 54,734
2020-08-27T00:00:00Z,55 to 64,502
2020-08-27T00:00:00Z,65 and older,1823
2020-08-28T00:00:00Z,Under 35,330
2020-08-28T00:00:00Z,35 to 54,736
2020-08-28T00:00:00Z,55 to 64,504
2020-08-28T00:00:00Z,65 and older,1823
2020-08-29T00:00:00Z,Under 35,334
2020-08-29T00:00:00Z,35 to 54,736
2020-08-29T00:00:00Z,55 to 64,505
2020-08-29T00:00:00Z,65 and older,1824
2020-08-30T00:00:00Z,Under 35,335
2020-08-30T00:00:00Z,35 to 54,739
2020-08-30T00:00:00Z,55 to 64,505
2020-08-30T00:00:00Z,65 and older,1825
2020-08-31T00:00:00Z,Under 35,338
2020-08-31T00:00:00Z,35 to 54,738
2020-08-31T00:00:00Z,55 to 64,505
2020-08-31T00:00:00Z,65 and older,1829
2020-09-01T00:00:00Z,Under 35,337
2020-09-01T00:00:00Z,35 to 54,738
2020-09-01T00:00:00Z,55 to 64,504
2020-09-01T00:00:00Z,65 and older,1835
2020-09-02T00:00:00Z,Under 35,334
2020-09-02T00:00:00Z,35 to 54,736
2020-09-02T00:00:00Z,55 to 64,503
2020-09-02T00:00:00Z,65 and older,1838
2020-09-03T00:00:00Z,Under 35,336
2020-09-03T00:00:00Z,35 to 54,736
2020-09-03T00:00:00Z,55 to 64,504
2020-09-03T00:00:00Z,65 and older,1841
2020-09-04T00:00:00Z,Under 35,338
2020-09-04T00:00:00Z,35 to 54,736
2020-09-04T00:00:00Z,55 to 64,505
2020-09-04T00:00:00Z,65 and older,1844
2020-09-05T00:00:00Z,Under 35,338
2020-09-05T00:00:00Z,35 to 54,737
2020-09-05T00:00:00Z,55 to 64,505
2020-09-05T00:00:00Z,65 and older,1846
2020-09-06T00:00:00Z,Under 35,338
2020-09-06T00:00:00Z,35 to 54,738
2020-09-06T00:00:00Z,55 to 64,505
2020-09-06T00:00:00Z,65 and older,1847
2020-09-07T00:00:00Z,Under 35,339
2020-09-07T00:00:00Z,35 to 54,739
2020-09-07T00:00:00Z,55 to 64,505
2020-09-07T00:00:00Z,65 and older,1850
2020-09-08T00:00:00Z,Under 35,338
2020-09-08T00:00:00Z,35 to 54,739
2020-09-08T00:00:00Z,55 to 64,505
2020-09-08T00:00:00Z,65 and older,1852
2020-09-09T00:00:00Z,Under 35,339
2020-09-09T00:00:00Z,35 to 54,740
2020-09-09T00:00:00Z,55 to 64,507
2020-09-09T00:00:00Z,65 and older,1853
2020-09-10T00:00:00Z,Under 35,341
2020-09-10T00:00:00Z,35 to 54,741
2020-09-10T00:00:00Z,55 to 64,508
2020-09-10T00:00:00Z,65 and older,1854
2020-09-11T00:00:00Z,Under 35,342
2020-09-11T00:00:00Z,35 to 54,742
2020-09-11T00:00:00Z,55 to 64,509
2020-09-11T00:00:00Z,65 and older,1857
2020-09-12T00:00:00Z,Under 35,345
2020-09-12T00:00:00Z,35 to 54,743
2020-09-12T00:00:00Z,55 to 64,510
2020-09-12T00:00:00Z,65 and older,1858
2020-09-13T00:00:00Z,Under 35,345
2020-09-13T00:00:00Z,35 to 54,746
2020-09-13T00:00:00Z,55 to 64,510
2020-09-13T00:00:00Z,65 and older,1860
2020-09-14T00:00:00Z,Under 35,346
2020-09-14T00:00:00Z,35 to 54,745
2020-09-14T00:00:00Z,55 to 64,512
2020-09-14T00:00:00Z,65 and older,1865
2020-09-15T00:00:00Z,Under 35,347
2020-09-15T00:00:00Z,35 to 54,747
2020-09-15T00:00:00Z,55 to 64,512
2020-09-15T00:00:00Z,65 and older,1870
2020-09-16T00:00:00Z,Under 35,348
2020-09-16T00:00:00Z,35 to 54,750
2020-09-16T00:00:00Z,55 to 64,513
2020-09-16T00:00:00Z,65 and older,1878
2020-09-17T00:00:00Z,Under 35,348
2020-09-17T00:00:00Z,35 to 54,751
2020-09-17T00:00:00Z,55 to 64,515
2020-09-17T00:00:00Z,65 and older,1885
2020-09-18T00:00:00Z,Under 35,351
2020-09-18T00:00:00Z,35 to 54,755
2020-09-18T00:00:00Z,55 to 64,519
2020-09-18T00:00:00Z,65 and older,1888
2020-09-19T00:00:00Z,Under 35,351
2020-09-19T00:00:00Z,35 to 54,756
2020-09-19T00:00:00Z,55 to 64,518
2020-09-19T00:00:00Z,65 and older,1898
2020-09-20T00:00:00Z,Under 35,349
2020-09-20T00:00:00Z,35 to 54,762
2020-09-20T00:00:00Z,55 to 64,523
2020-09-20T00:00:00Z,65 and older,1900
2020-09-21T00:00:00Z,Under 35,349
2020-09-21T00:00:00Z,35 to 54,767
2020-09-21T00:00:00Z,55 to 64,527
2020-09-21T00:00:00Z,65 and older,1904
2020-09-22T00:00:00Z,Under 35,351
2020-09-22T00:00:00Z,35 to 54,768
2020-09-22T00:00:00Z,55 to 64,528
2020-09-22T00:00:00Z,65 and older,1904
2020-09-23T00:00:00Z,Under 35,351
2020-09-23T00:00:00Z,35 to 54,769
2020-09-23T00:00:00Z,55 to 64,530
2020-09-23T00:00:00Z,65 and older,1909
2020-09-24T00:00:00Z,Under 35,350
2020-09-24T00:00:00Z,35 to 54,772
2020-09-24T00:00:00Z,55 to 64,532
2020-09-24T00:00:00Z,65 and older,1911
2020-09-25T00:00:00Z,Under 35,354
2020-09-25T00:00:00Z,35 to 54,772
2020-09-25T00:00:00Z,55 to 64,534
2020-09-25T00:00:00Z,65 and older,1914
2020-09-26T00:00:00Z,Under 35,358
2020-09-26T00:00:00Z,35 to 54,772
2020-09-26T00:00:00Z,55 to 64,536
2020-09-26T00:00:00Z,65 and older,1916
2020-09-27T00:00:00Z,Under 35,358
2020-09-27T00:00:00Z,35 to 54,776
2020-09-27T00:00:00Z,55 to 64,539
2020-09-27T00:00:00Z,65 and older,1919
2020-09-28T00:00:00Z,Under 35,359
2020-09-28T00:00:00Z,35 to 54,779
2020-09-28T00:00:00Z,55 to 64,543
2020-09-28T00:00:00Z,65 and older,1918
2020-09-29T00:00:00Z,Under 35,367
2020-09-29T00:00:00Z,35 to 54,784
2020-09-29T00:00:00Z,55 to 64,541
2020-09-29T00:00:00Z,65 and older,1924
2020-09-30T00:00:00Z,Under 35,370
2020-09-30T00:00:00Z,35 to 54,785
2020-09-30T00:00:00Z,55 to 64,541
2020-09-30T00:00:00Z,65 and older,1934
2020-10-01T00:00:00Z,Under 35,376
2020-10-01T00:00:00Z,35 to 54,786
2020-10-01T00:00:00Z,55 to 64,541
2020-10-01T00:00:00Z,65 and older,1939
2020-10-02T00:00:00Z,Under 35,380
2020-10-02T00:00:00Z,35 to 54,790
2020-10-02T00:00:00Z,55 to 64,543
2020-10-02T00:00:00Z,65 and older,1939
2020-10-03T00:00:00Z,Under 35,394
2020-10-03T00:00:00Z,35 to 54,792
2020-10-03T00:00:00Z,55 to 64,548
2020-10-03T00:00:00Z,65 and older,1943
2020-10-04T00:00:00Z,Under 35,384
2020-10-04T00:00:00Z,35 to 54,793
2020-10-04T00:00:00Z,55 to 64,549
2020-10-04T00:00:00Z,65 and older,1949
2020-10-05T00:00:00Z,Under 35,386
2020-10-05T00:00:00Z,35 to 54,796
2020-10-05T00:00:00Z,55 to 64,559
2020-10-05T00:00:00Z,65 and older,1959
2020-10-06T00:00:00Z,Under 35,394
2020-10-06T00:00:00Z,35 to 54,802
2020-10-06T00:00:00Z,55 to 64,562
2020-10-06T00:00:00Z,65 and older,1970
2020-10-07T00:00:00Z,Under 35,398
2020-10-07T00:00:00Z,35 to 54,804
2020-10-07T00:00:00Z,55 to 64,568
2020-10-07T00:00:00Z,65 and older,1984
2020-10-08T00:00:00Z,Under 35,401
2020-10-08T00:00:00Z,35 to 54,807
2020-10-08T00:00:00Z,55 to 64,568
2020-10-08T00:00:00Z,65 and older,1992
2020-10-09T00:00:00Z,Under 35,410
2020-10-09T00:00:00Z,35 to 54,812
2020-10-09T00:00:00Z,55 to 64,567
2020-10-09T00:00:00Z,65 and older,2004
2020-10-10T00:00:00Z,Under 35,415
2020-10-10T00:00:00Z,35 to 54,811
2020-10-10T00:00:00Z,55 to 64,569
2020-10-10T00:00:00Z,65 and older,2025
2020-10-11T00:00:00Z,Under 35,419
2020-10-11T00:00:00Z,35 to 54,816
2020-10-11T00:00:00Z,55 to 64,573
2020-10-11T00:00:00Z,65 and older,2038
2020-10-12T00:00:00Z,Under 35,428
2020-10-12T00:00:00Z,35 to 54,821
2020-10-12T00:00:00Z,55 to 64,581
2020-10-12T00:00:00Z,65 and older,2045
2020-10-13T00:00:00Z,Under 35,435
2020-10-13T00:00:00Z,35 to 54,828
2020-10-13T00:00:00Z,55 to 64,586
2020-10-13T00:00:00Z,65 and older,2065
2020-10-14T00:00:00Z,Under 35,440
2020-10-14T00:00:00Z,35 to 54,833
2020-10-14T00:00:00Z,55 to 64,588
2020-10-14T00:00:00Z,65 and older,2073
2020-10-15T00:00:00Z,Under 35,443
2020-10-15T00:00:00Z,35 to 54,839
2020-10-15T00:00:00Z,55 to 64,591
2020-10-15T00:00:00Z,65 and older,2081
2020-10-16T00:00:00Z,Under 35,447
2020-10-16T00:00:00Z,35 to 54,841
2020-10-16T00:00:00Z,55 to 64,595
2020-10-16T00:00:00Z,65 and older,2095
2020-10-17T00:00:00Z,Under 35,449
2020-10-17T00:00:00Z,35 to 54,845
2020-10-17T00:00:00Z,55 to 64,596
2020-10-17T00:00:00Z,65 and older,2105
2020-10-18T00:00:00Z,Under 35,453
2020-10-18T00:00:00Z,35 to 54,849
2020-10-18T00:00:00Z,55 to 64,599
2020-10-18T00:00:00Z,65 and older,2118
2020-10-19T00:00:00Z,Under 35,462
2020-10-19T00:00:00Z,35 to 54,855
2020-10-19T00:00:00Z,55 to 64,605
2020-10-19T00:00:00Z,65 and older,2130
2020-10-20T00:00:00Z,Under 35,469
2020-10-20T00:00:00Z,35 to 54,867
2020-10-20T00:00:00Z,55 to 64,620
2020-10-20T00:00:00Z,65 and older,2160
2020-10-21T00:00:00Z,Under 35,476
2020-10-21T00:00:00Z,35 to 54,880
2020-10-21T00:00:00Z,55 to 64,626
2020-10-21T00:00:00Z,65 and older,2179
2020-10-22T00:00:00Z,Under 35,466
2020-10-22T00:00:00Z,35 to 54,877
2020-10-22T00:00:00Z,55 to 64,623
2020-10-22T00:00:00Z,65 and older,2187
2020-10-23T00:00:00Z,Under 35,467
2020-10-23T00:00:00Z,35 to 54,883
2020-10-23T00:00:00Z,55 to 64,629
2020-10-23T00:00:00Z,65 and older,2214
2020-10-24T00:00:00Z,Under 35,468
2020-10-24T00:00:00Z,35 to 54,885
2020-10-24T00:00:00Z,55 to 64,631
2020-10-24T00:00:00Z,65 and older,2224
2020-10-25T00:00:00Z,Under 35,472
2020-10-25T00:00:00Z,35 to 54,887
2020-10-25T00:00:00Z,55 to 64,631
2020-10-25T00:00:00Z,65 and older,2240
2020-10-26T00:00:00Z,Under 35,473
2020-10-26T00:00:00Z,35 to 54,894
2020-10-26T00:00:00Z,55 to 64,636
2020-10-26T00:00:00Z,65 and older,2249
2020-10-27T00:00:00Z,Under 35,479
2020-10-27T00:00:00Z,35 to 54,908
2020-10-27T00:00:00Z,55 to 64,643
2020-10-27T00:00:00Z,65 and older,2270
2020-10-28T00:00:00Z,Under 35,486
2020-10-28T00:00:00Z,35 to 54,919
2020-10-28T00:00:00Z,55 to 64,646
2020-10-28T00:00:00Z,65 and older,2295
2020-10-29T00:00:00Z,Under 35,489
2020-10-29T00:00:00Z,35 to 54,921
2020-10-29T00:00:00Z,55 to 64,654
2020-10-29T00:00:00Z,65 and older,2311
2020-10-30T00:00:00Z,Under 35,493
2020-10-30T00:00:00Z,35 to 54,922
2020-10-30T00:00:00Z,55 to 64,658
2020-10-30T00:00:00Z,65 and older,2322
2020-10-31T00:00:00Z,Under 35,495
2020-10-31T00:00:00Z,35 to 54,923
2020-10-31T00:00:00Z,55 to 64,660
2020-10-31T00:00:00Z,65 and older,2331
2020-11-01T00:00:00Z,Under 35,500
2020-11-01T00:00:00Z,35 to 54,934
2020-11-01T00:00:00Z,55 to 64,666
2020-11-01T00:00:00Z,65 and older,2347
2020-11-02T00:00:00Z,Under 35,508
2020-11-02T00:00:00Z,35 to 54,940
2020-11-02T00:00:00Z,55 to 64,673
2020-11-02T00:00:00Z,65 and older,2367
2020-11-03T00:00:00Z,Under 35,514
2020-11-03T00:00:00Z,35 to 54,950
2020-11-03T00:00:00Z,55 to 64,676
2020-11-03T00:00:00Z,65 and older,2386
2020-11-04T00:00:00Z,Under 35,521
2020-11-04T00:00:00Z,35 to 54,960
2020-11-04T00:00:00Z,55 to 64,680
2020-11-04T00:00:00Z,65 and older,2417
2020-11-05T00:00:00Z,Under 35,523
2020-11-05T00:00:00Z,35 to 54,966
2020-11-05T00:00:00Z,55 to 64,685
2020-11-05T00:00:00Z,65 and older,2429
2020-11-06T00:00:00Z,Under 35,527
2020-11-06T00:00:00Z,35 to 54,970
2020-11-06T00:00:00Z,55 to 64,689
2020-11-06T00:00:00Z,65 and older,2442
2020-11-07T00:00:00Z,Under 35,531
2020-11-07T00:00:00Z,35 to 54,975
2020-11-07T00:00:00Z,55 to 64,689
2020-11-07T00:00:00Z,65 and older,2467
2020-11-08T00:00:00Z,Under 35,533
2020-11-08T00:00:00Z,35 to 54,979
2020-11-08T00:00:00Z,55 to 64,690
2020-11-08T00:00:00Z,65 and older,2472
2020-11-09T00:00:00Z,Under 35,544
2020-11-09T00:00:00Z,35 to 54,993
2020-11-09T00:00:00Z,55 to 64,696
2020-11-09T00:00:00Z,65 and older,2479
2020-11-10T00:00:00Z,Under 35,544
2020-11-10T00:00:00Z,35 to 54,995
2020-11-10T00:00:00Z,55 to 64,699
2020-11-10T00:00:00Z,65 and older,2533
2020-11-11T00:00:00Z,Under 35,549
2020-11-11T00:00:00Z,35 to 54,1000
2020-11-11T00:00:00Z,55 to 64,703
2020-11-11T00:00:00Z,65 and older,2554
